phi0,charge_fraction,Phi1,constraint,gauss_drift,A_slope,A_intercept,h0,phiA,Phi0,Phi2,T_MeV,mu_MeV,mu_over_T,s_over_T3,rho_over_T3,slope_identity_error,phiA_relative_spread
0.18,0.0,0.0,1.2494183465097617e-12,0.0,4.007894539694441,0.0014861037970826242,0.06225402407476945,0.25859280196089823,0.0,-0.0,1003.700703514275,0.0,0.0,17.032644901600907,0.0,7.277511926417901e-12,1.755466476534412e-05
0.20252680499720538,0.0,0.0,1.2538237115201514e-12,0.0,4.009996037155695,0.0018810752322936787,0.062188790896739746,0.2910124826634058,0.0,-0.0,917.8681488105971,0.0,0.0,17.00588030790613,0.0,7.392308987164142e-12,1.5650998974005213e-05
0.22787281523542255,0.0,0.0,1.260360692330815e-12,0.0,4.01265757126352,0.002380929948252661,0.062106320517697336,0.3275140008668135,0.0,-0.0,839.4586494054766,0.0,0.0,16.97206353070282,0.0,7.492229059380406e-12,1.393457241261703e-05
0.2563908511963814,0.0,0.0,1.2680345662374726e-12,0.0,4.016028763903793,0.003013465389810403,0.062002095918797955,0.3686188765879246,0.0,-0.0,767.8430467655343,0.0,0.0,16.929358597549122,0.0,7.158496018178084e-12,1.2057290816301931e-05
0.28847788846287237,0.0,0.0,1.279840401905988e-12,0.0,4.020299435050569,0.0038138144811252486,0.061870439097756434,0.41491864016938285,0.0,-0.0,702.4473741162057,0.0,0.0,16.8754648893828,0.0,7.186251593793713e-12,1.0691615814554052e-05
0.3245805836818096,0.0,0.0,1.294182538913446e-12,0.0,4.025710535800155,0.004826363098594275,0.06170422636252599,0.46708577516774996,0.0,-0.0,642.7482471051286,0.0,0.0,16.807507576976494,0.0,7.183365013929688e-12,9.460806953243534e-06
0.36520149209558317,0.0,0.0,1.309246044911527e-12,0.0,4.032568133057314,0.006107158417684581,0.061494542145855556,0.5258870852491446,0.0,-0.0,588.268650462294,0.0,0.0,16.721907120225932,0.0,7.12963021953783e-12,8.340733272857181e-06
0.4109060631907257,0.0,0.0,1.3321255210030354e-12,0.0,4.041261342212234,0.007726928443811399,0.06123026330059343,0.5922003402387133,0.0,-0.0,538.5740720433993,0.0,0.0,16.61422695770739,0.0,7.372547017325815e-12,7.518380765530647e-06
0.46233051184443036,0.0,0.0,1.360547203189107e-12,0.0,4.052285391657446,0.009774859825590922,0.060897568425984094,0.6670354763973386,0.0,-0.0,493.2689356283264,0.0,0.0,16.479000862058772,0.0,7.1596062412027095e-12,6.562790704789699e-06
0.5201906745365283,0.0,0.0,1.3984902107791507e-12,0.0,4.066271394569962,0.01236331292619478,0.06047937261665522,0.7515622809487209,0.0,-0.0,451.99328408722397,0.0,0.0,16.309545714749454,0.0,7.233103005432895e-12,5.845447390283159e-06
0.5852919739068012,0.0,0.0,1.4487966382148251e-12,0.0,4.084024941310426,0.015633691418142453,0.05995469923287347,0.8471475576272136,0.0,-0.0,414.41964848859703,0.0,0.0,16.097772716897563,0.0,7.1314065763772305e-12,5.1564031752605495e-06
0.6585406303658453,0.0,0.0,1.5091538117311191e-12,0.0,4.106576370898428,0.019763729458821735,0.05929801999501281,0.9554064611224924,0.0,-0.0,380.25003434629565,0.0,0.0,15.834021731001767,0.0,7.284617353775502e-12,4.625021363483663e-06
0.7409562768268907,0.0,0.0,1.598294829815742e-12,0.0,4.135246618177607,0.024976517473802595,0.05847862730819531,1.0782754687169598,0.0,-0.0,349.2129294130007,0.0,0.0,15.506961295391788,0.0,7.154055126079584e-12,4.085045549028163e-06
0.8336861521576391,0.0,0.0,1.7082567374430303e-12,0.0,4.171733985662928,0.03155166415872627,0.05746015392897086,1.2181189372468455,0.0,-0.0,321.06022210038986,0.0,0.0,15.10362262675212,0.0,7.1807004786705875e-12,3.6468505508818182e-06
0.938021070927226,0.0,0.0,1.8606272078609905e-12,0.0,4.218229221166325,0.03983910288296839,0.056200431269357295,1.3778885638211626,0.0,-0.0,295.56387896597175,0.0,0.0,14.609670485967657,0.0,7.217781927693068e-12,3.2705621254797106e-06
1.0554133917497115,0.0,0.0,2.0769164165652073e-12,0.0,4.2775691133230715,0.05027622089042696,0.054651983625786396,1.5613670500925425,0.0,-0.0,272.5121994562369,0.0,0.0,14.010055079036663,0.0,6.7914562862370076e-12,2.8528352750549028e-06
1.1874972343462942,0.0,0.0,2.3785927297559576e-12,0.0,4.353442718188154,0.06340926447609796,0.052763589281380675,1.7735469715913639,0.0,-0.0,251.70541712050473,0.0,0.0,13.290228411272192,0.0,6.569411681311976e-12,2.5419481530787434e-06
1.3361112267509592,0.0,0.0,2.818296707111283e-12,0.0,4.450669598907315,0.07992041896103456,0.05048348060070192,2.0212283018274584,0.0,-0.0,232.95037990438755,0.0,0.0,12.438124028507335,0.0,6.497025140106416e-12,2.3043278117183728e-06
1.503324099304269,0.0,0.0,3.474980303508339e-12,0.0,4.575576337888147,0.10066266346996679,0.047764846803418144,2.3139723125571514,0.0,-0.0,216.05401719192022,0.0,0.0,11.447048743041467,0.0,6.335154623116068e-12,2.1057157744526344e-06
1.6914634817077507,0.0,0.0,4.497593408807695e-12,0.0,4.736506049350056,0.12670553753055136,0.04457422565981263,2.6656423998828904,0.0,-0.0,200.81532489947736,0.0,0.0,10.319452573144599,0.0,5.444755757366693e-12,1.8671779824454329e-06
1.903148303998443,0.0,0.0,6.168079380586218e-12,0.0,4.944504984988453,0.15939634593406934,0.04090292462271064,3.096926800919025,0.0,-0.0,187.01571999560116,0.0,0.0,9.07115297967643,0.0,4.924505248027344e-12,1.752236587791006e-06
2.1413252524703053,0.0,0.0,9.025589357208553e-12,0.0,5.214238452568224,0.20044292223128857,0.03678055040250366,3.6395422708100655,0.0,-0.0,174.4079330031833,0.0,0.0,7.734963777885095,0.0,3.4507952051399116e-12,1.623972984148207e-06
2.4093097880146943,0.0,0.0,1.4205738806865225e-11,0.0,5.565190467150096,0.2520254083252291,0.03228791006910406,4.3434080960027845,0.0,-0.0,162.70428065230578,0.0,0.0,6.361958777320016,0.0,8.681944052568724e-13,1.5330122184150485e-06
2.7108322978617245,0.0,0.0,2.4208759441534898e-11,0.0,6.023189731012661,0.3169446379919979,0.02756429648505599,5.289282393951403,0.0,-0.0,151.5664460094221,0.0,0.0,5.0182387220905715,0.0,4.750533300068582e-12,1.4189356908390867e-06
3.050090023162044,0.0,0.0,4.4847129893678375e-11,0.0,6.6222692517298976,0.3988119902369481,0.022802703009652963,6.611919521885123,0.0,-0.0,140.60115064461488,0.0,0.0,3.7758127156041,0.0,1.5662360297596933e-11,1.3520860882863796e-06
